,Model Year,Make,Model,Vehicle Class,full PRICE (w/o tax),Engine Size (L),Cylinders,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Highway (L/100 km),CO2 Emissions (g/km),CO2 Rating,Fuel CostPerYear,yearly_lease_price,yearly cost,Car,Combined (L/100 km)
187,2020,Subaru,WRX AWD,Compact,29995,2,4,Z,11.3,8.5,236,5,3335,4852.8,8187.8,Subaru WRX AWD,10.04
188,2020,Subaru,WRX STI AWD,Compact,40295,2.5,4,Z,14.3,10.8,297,3,3683,6577.68,10260.68,Subaru WRX STI AWD,12.725
189,2020,Toyota,4Runner 4WD,SUV,48120,4,6,X,14.8,12.5,321,3,3588,7043.16,10631.16,Toyota 4Runner 4WD,13.765
190,2020,Toyota,4Runner 4WD (TRD Off Road),SUV,51640,4,6,X,14.8,12.5,321,3,3588,7649.16,11237.16,Toyota 4Runner 4WD (TRD Off Road),13.765
191,2020,Toyota,Avalon,Mid-size,42690,3.5,6,X,10.9,7.6,220,5,2444,6759.24,9203.24,Toyota Avalon,9.415
192,2020,Toyota,C-HR,Compact,23750,2,4,X,8.7,7.5,189,6,1794,3434.4,5228.4,Toyota C-HR,8.16
193,2020,Toyota,Camry,Mid-size,26620,2.5,4,X,8.1,5.7,164,8,2340,4224.96,6564.96,Toyota Camry,7.02
194,2020,Toyota,Camry SE,Mid-size,28550,2.5,4,X,8.5,6.1,173,7,2132,3937.08,6069.08,Toyota Camry SE,7.42
195,2020,Toyota,Camry XSE,Mid-size,34990,2.5,4,X,8.6,6.3,177,7,2184,5615.76,7799.76,Toyota Camry XSE,7.565
196,2020,Toyota,Camry XLE,Mid-size,36790,3.5,6,X,10.7,7.4,215,5,1326,6101.16,7427.16,Toyota Camry XLE,9.215
197,2020,Toyota,Camry AWD LE,Mid-size,29850,2.5,4,X,9.3,6.8,190,6,2444,4684.44,7128.44,Toyota Camry AWD LE,8.175
198,2020,Toyota,Camry AWD XSE,Mid-size,36650,2.5,4,X,9.5,7,197,6,1976,5816.88,7792.88,Toyota Camry AWD XSE,8.375
199,2020,Toyota,Corolla L CVT,Compact,20791,1.8,4,X,7.9,6.1,165,7,1742,2700.36,4442.36,Toyota Corolla L CVT,7.09
200,2020,Toyota,Corolla XLE,Compact,26990,1.8,4,X,8.1,6.3,170,7,1846,3504.72,5350.72,Toyota Corolla XLE,7.29
201,2020,Toyota,Corolla LE CVT,Compact,21790,1.8,4,X,8,6,165,7,1846,2830.2,4676.2,Toyota Corolla LE CVT,7.1
202,2020,Toyota,Corolla SE,Compact,22290,2,4,X,7.6,5.8,158,8,1924,2980.56,4904.56,Toyota Corolla SE,6.79
203,2020,Toyota,Corolla XSE,Compact,28490,2,4,X,7.7,6.1,164,8,1742,3650.76,5392.76,Toyota Corolla XSE,6.98
204,2020,Toyota,Corolla L 6M,Compact,18990,2,4,X,8.2,6.5,173,7,1950,2466.48,4416.48,Toyota Corolla L 6M,7.435
205,2020,Toyota,Corolla Hatchback CVT,Compact,22050,2,4,X,7.5,5.8,158,8,1170,3611.04,4781.04,Toyota Corolla Hatchback CVT,6.735
206,2020,Toyota,Corolla Hatchback 6MT,Compact,21050,2,4,X,8.4,6.3,174,7,1898,3350.28,5248.28,Toyota Corolla Hatchback 6MT,7.455
207,2020,Toyota,Highlander L FWD,SUV,39990,3.5,6,X,11.9,8.3,240,5,2678,6285.48,8963.48,Toyota Highlander L FWD,10.28
208,2020,Toyota,Highlander LE AWD,SUV,43490,3.5,6,X,11.7,8.6,240,5,2678,6528.96,9206.96,Toyota Highlander LE AWD,10.305
209,2020,Toyota,Prius,Mid-size,28550,1.8,4,X,4.4,4.7,106,10,1170,4277.88,5447.88,Toyota Prius,4.535
210,2020,Toyota,Prius AWD,Mid-size,29550,1.8,4,X,4.5,4.9,109,10,1222,4321.08,5543.08,Toyota Prius AWD,4.68
211,2020,Toyota,Prius c,Compact,32590,1.5,4,X,4.9,5.5,120,10,1326,4835.04,6161.04,Toyota Prius c,5.17
212,2020,Toyota,RAV4 LE FWD,SUV,28090,2.5,4,X,8.8,6.8,184,7,2054,4160.76,6214.76,Toyota RAV4 LE FWD,7.9
213,2020,Toyota,RAV4 LE AWD,SUV,30190,2.5,4,X,9.2,7.1,194,6,2132,4418.76,6550.76,Toyota RAV4 LE AWD,8.255
214,2020,Toyota,RAV4 XLW AWD,SUV,33790,2.5,4,X,9.5,7.5,200,6,2236,5005.08,7241.08,Toyota RAV4 XLW AWD,8.6
215,2020,Toyota,Sequoia 4WD,SUV,69790,5.7,8,X,18.5,13.9,385,1,4264,10582.92,14846.92,Toyota Sequoia 4WD,16.43
216,2020,Toyota,Yaris Hatchback 6AT,Compact,18390,1.5,4,X,7.3,5.9,155,8,1716,2655.96,4371.96,Toyota Yaris Hatchback 6AT,6.67
217,2020,Toyota,Yaris Hatchback 6MT,Compact,17290,1.5,4,X,7.8,6.1,165,8,1794,2590.68,4384.68,Toyota Yaris Hatchback 6MT,7.035
218,2020,Volkswagen,Arteon 4MOTION,SUV,49960,2,4,Z,11.5,8.2,234,5,2900,9052.08,11952.08,Volkswagen Arteon 4MOTION,10.015
219,2020,Volkswagen,Atlas Trendline,SUV,40095,2,4,X,12.8,10.4,273,4,3042,5790.6,8832.6,Volkswagen Atlas Trendline,11.72
220,2020,Volkswagen,Atlas COMFORTLINE,SUV,44495,3.6,6,X,14.3,10.7,297,3,3302,6562.8,9864.8,Volkswagen Atlas COMFORTLINE,12.68
221,2020,Volkswagen,Golf Comfortline,Compact,22570,1.4,4,X,8.1,6.6,174,7,1924,3415.8,5339.8,Volkswagen Golf Comfortline,7.425
222,2020,Volkswagen,Golf Highline,Compact,26220,1.4,4,X,8.4,6.6,177,7,1976,3972.12,5948.12,Volkswagen Golf Highline,7.59
223,2020,Volkswagen,Golf GTI,Compact,30845,2,4,X,9.7,7.5,203,6,2262,4398,6660,Volkswagen Golf GTI,8.71
224,2020,Volkswagen,Golf GTI Autobahn,Compact,36745,2,4,X,9.8,7.3,203,6,2262,5387.28,7649.28,Volkswagen Golf GTI Autobahn,8.675
225,2020,Volkswagen,Jetta Comfortline,Compact,21245,1.4,4,X,7.8,5.9,162,8,1820,3114.6,4934.6,Volkswagen Jetta Comfortline,6.945
226,2020,Volkswagen,Jetta Highline,Compact,24345,1.4,4,X,7.9,5.9,163,8,1820,3576,5396,Volkswagen Jetta Highline,7
227,2020,Volkswagen,Jetta Execline,Compact,29895,2,4,X,9.3,7.2,196,6,2184,4386.48,6570.48,Volkswagen Jetta Execline,8.355
228,2020,Volkswagen,Jetta GLI,Compact,31945,2,4,X,9.6,7.1,198,6,2210,5127.24,7337.24,Volkswagen Jetta GLI,8.475
229,2020,Volkswagen,Passat Comfirtline,Mid-size,27145,2,4,X,10.2,6.9,205,6,2262,4371,6633,Volkswagen Passat Comfirtline,8.715
230,2020,Volkswagen,Tiguan Trendline,SUV,29770,2,4,X,10.5,8.1,221,5,2444,4677.6,7121.6,Volkswagen Tiguan Trendline,9.42
231,2020,Volkswagen,Tiguan Comfortline,SUV,34865,2,4,X,11.5,8.7,241,5,2652,5441.04,8093.04,Volkswagen Tiguan Comfortline,10.24
232,2020,Volvo,S60 T5,Compact,42400,2,4,Z,10.5,7.1,208,6,2581,5703.6,8284.6,Volvo S60 T5,8.97
233,2020,Volvo,S60 T6 AWD,Compact,47400,2,4,Z,11,7.4,219,5,2726,5667.84,8393.84,Volvo S60 T6 AWD,9.38
234,2020,Volvo,S90 T6 AWD,Mid-size,67000,2,4,Z,11.3,7.5,223,5,2784,8780.4,11564.4,Volvo S90 T6 AWD,9.59
235,2020,Volvo,V60 T5,Compact,43900,2,4,Z,10.5,7.1,208,6,2726,5934.24,8660.24,Volvo V60 T5,8.97
